corpus	doc	classify_exit	classify_code	extract_exit	extract_code	extract_message	pages_authorized	pages_processed	pages_failed	pages_unsupported	pages_quarantined	pages_not_attempted	terminal	limitation_codes	artifact_bytes	extract_wall_s
engine	form-xobject-text-drawn/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;form-xobjects-not-descended;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;untagged-structure-tree-absent	10938	0.013
engine	horizontal-scaling-tz/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;untagged-structure-tree-absent	10640	0.013
engine	image-declared-not-drawn/document.pdf	1		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;untagged-structure-tree-absent	10284	0.012
engine	image-xobject-drawn/document.pdf	1		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;geometry-absent-not-groundable;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;non-text-nodes-not-projected;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;untagged-structure-tree-absent	13808	0.012
engine	ink-past-the-media-box/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;geometry-absent-not-groundable;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;off-page-text;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;unruled-table-candidate-refused;untagged-structure-tree-absent	14346	0.013
engine	invisible-render-mode/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;image-payload-not-embedded;invisible-render-mode-text;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;untagged-structure-tree-absent	12068	0.012
engine	markdown-hyphen-break/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;untagged-structure-tree-absent	10794	0.011
engine	markdown-table-cells/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;untagged-structure-tree-absent	13584	0.012
engine	markdown-two-blocks/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;untagged-structure-tree-absent	10718	0.012
engine	measured-ink-box/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;untagged-structure-tree-absent	10273	0.012
engine	off-page-and-offset-box/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;off-page-text;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;untagged-structure-tree-absent	11437	0.012
engine	rotated-and-mirrored-text/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;geometry-absent-not-groundable;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;unruled-table-candidate-refused;untagged-structure-tree-absent	15659	0.012
engine	ruled-table-grid/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;untagged-structure-tree-absent	14288	0.013
engine	ruled-table-overlap/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;ruled-table-candidate-refused;undrawn-table-edges-not-supplied;unruled-table-candidate-refused;untagged-structure-tree-absent	13189	0.012
engine	ruled-wins-shared-region/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;untagged-structure-tree-absent	12357	0.012
engine	show-text-quote-operators/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;untagged-structure-tree-absent	11119	0.011
engine	simple-font-two-byte-tounicode/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;untagged-structure-tree-absent	10272	0.011
engine	stroke-ruled-columns-not-drawn/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;stroke-ruled-table-candidate-refused;undrawn-table-edges-not-supplied;untagged-structure-tree-absent	11776	0.011
engine	stroke-ruled-field-boxes/document.pdf	1		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;geometry-absent-not-groundable;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;non-text-nodes-not-projected;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;stroke-ruled-table-candidate-refused;undrawn-table-edges-not-supplied;untagged-structure-tree-absent	15913	0.012
engine	stroke-ruled-worksheet/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;untagged-structure-tree-absent	15746	0.012
engine	synthesized-space-tj/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;untagged-structure-tree-absent	10673	0.013
engine	tagged-cycle/document.pdf	0		2	malformed	malformed structure tree: `/K` cycles: object 7 0 R is its own ancestor. Refused rather than walked, because following it does not terminate and stopping partway would report a structure the document does not have										0.009
engine	tagged-list-items/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;unruled-table-candidate-refused	14988	0.013
engine	tagged-rolemap/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied	10271	0.012
